名称,分类
熏草（零陵香）,草部
蕙草,草部
香草,草部
燕草,草部
黄零草,草部
兰草,草部
（闲）,草部
木香,草部
香水兰,草部
女兰,草部
香草,草部
燕尾香,草部
大泽兰,草部
兰泽草,草部
煎泽草,草部
省头草,草部
都梁香,草部
孩儿菊,草部
千金草,草部
泽兰,草部
水香,草部
都梁香,草部
虎兰,草部
虎蒲,草部
龙枣,草部
孩儿菊,草部
风药,草部
根名地笋,草部
马兰,草部
紫菊,草部
香薷,草部
香柔,草部
香茸,草部
香菜,草部
蜜蜂草,草部
假苏,草部
姜芥,草部
荆芥,草部
鼠萤,草部
薄荷,草部
菝活,草部
蕃荷菜,草部
吴菝活,草部
南薄荷,草部
金钱薄荷,草部
水苏,草部
鸡苏,草部
香苏,草部
龙脑薄荷,草部
芥苴,草部
菊,草部
节华,草部
女节,草部
女华,草部
女茎,草部
日精,草部
更生,草部
傅延年,草部
金蕊,草部
陰成,草部
周盈,草部
野菊,草部
苦薏,草部
淹闾,草部
覆闾,草部
艾,草部
冰台,草部
医草,草部
黄草艾蒿,草部
茵陈蒿,草部
青蒿,草部
草高,草部
方溃,草部
牵,草部
狈蒿,草部
香蒿,草部
白蒿,草部
由胡,草部
蒌蒿,草部
蘩,草部
茺蔚（益母草）,草部
益母,草部
益明,草部
贞蔚,草部
推,草部
野天麻猪麻,草部
郁臭草,草部
苦低草,草部
夏枯草,草部
土质汗,草部
夏枯草,草部
夕句,草部
乃东,草部
燕面,草部
铁色草,草部
刘寄奴草,草部
金寄奴,草部
乌藤菜,草部
旋夏花,草部
金沸草,草部
金钱花,草部
滴滴金,草部
盗瘐,草部
夏菊,草部
戴椹,草部
青葙,草部
草蒿,草部
萋蒿,草部
昆仑草,草部
野鸡冠,草部
鸡冠苋,草部
子名草决明,草部
鸡冠,草部
红蓝花,草部
红花,草部
黄蓝,草部
番红花,草部
消夫蓝,草部
撤法即,草部
燕脂【,草部
赦,草部
大蓟、小蓟,草部
虎蓟（大蓟）,草部
猫蓟（小蓟）,草部
马蓟,草部
刺蓟,草部
山牛蒡,草部
鸡项草,草部
千针草,草部
野红花,草部
续断,草部
属折,草部
接骨,草部
龙豆,草部
南草,草部
漏卢,草部
野兰,草部
荚蒿,草部
鬼油麻,草部
苎麻,草部
苘麻,草部
白麻,草部
大青,草部
小青,草部
胡芦巴,草部
苦豆,草部
蠡实,草部
荔实,草部
马蔺子,草部
马楝子,草部
马薤,草部
马帚,草部
铁扫帚,草部
剧草,草部
旱蒲,草部
豕首,草部
三坚,草部
恶实,草部
荔实,草部
马亦名鼠粘,草部
牛蒡,草部
大力子,草部
蒡翁菜,草部
便牵牛,草部
蝙蝠刺,草部
呆耳,草部
胡,草部
常思,草部
苍耳,草部
卷耳,草部
爵耳,草部
猪耳,草部
